Amount 42
8       4       2
8       8       1
16      8       2
16      16      1
32      16      2
32      32      1
64      32      2
64      64      1
128     64      2
128     128     1
256     128     2
256     256     1
512     256     2
512     512     1
1024    512     2
1024    1024    1
2048    512     4
2048    1024    2
4096    512     8
4096    1024    4
8192    512     16
8192    1024    8
16384   512     32
16384   1024    16
32768   512     64
32768   1024    32
65536   512     128
65536   1024    64
131072  512     256
131072  1024    128
262144  512     512
262144  1024    256
524288  512     1024
524288  1024    512
1048576 512     2048
1048576 1024    1024
2097152 512     4096
2097152 1024    2048
4194304 512     8192
4194304 1024    4096
8388608 512     16384
8388608 1024    8192
