Amount 182
8       2       4
8       4       2
8       8       1
16      2       8
16      4       4
16      8       2
16      16      1
32      2       16
32      4       8
32      8       4
32      16      2
32      32      1
64      2       32
64      4       16
64      8       8
64      16      4
64      32      2
64      64      1
128     2       64
128     4       32
128     8       16
128     16      8
128     32      4
128     64      2
128     128     1
256     2       128
256     4       64
256     8       32
256     16      16
256     32      8
256     64      4
256     128     2
256     256     1
512     2       256
512     4       128
512     8       64
512     16      32
512     32      16
512     64      8
512     128     4
512     256     2
512     512     1
1024    2       512
1024    4       256
1024    8       128
1024    16      64
1024    32      32
1024    64      16
1024    128     8
1024    256     4
1024    512     2
1024    1024    1
2048    2       1024
2048    4       512
2048    8       256
2048    16      128
2048    32      64
2048    64      32
2048    128     16
2048    256     8
2048    512     4
2048    1024    2
4096    2       2048
4096    4       1024
4096    8       512
4096    16      256
4096    32      128
4096    64      64
4096    128     32
4096    256     16
4096    512     8
4096    1024    4
8192    2       4096
8192    4       2048
8192    8       1024
8192    16      512
8192    32      256
8192    64      128
8192    128     64
8192    256     32
8192    512     16
8192    1024    8
16384   2       8192
16384   4       4096
16384   8       2048
16384   16      1024
16384   32      512
16384   64      256
16384   128     128
16384   256     64
16384   512     32
16384   1024    16
32768   2       16384
32768   4       8192
32768   8       4096
32768   16      2048
32768   32      1024
32768   64      512
32768   128     256
32768   256     128
32768   512     64
32768   1024    32
65536   2       32768
65536   4       16384
65536   8       8192
65536   16      4096
65536   32      2048
65536   64      1024
65536   128     512
65536   256     256
65536   512     128
65536   1024    64
131072  2       65536
131072  4       32768
131072  8       16384
131072  16      8192
131072  32      4096
131072  64      2048
131072  128     1024
131072  256     512
131072  512     256
131072  1024    128
262144  2       131072
262144  4       65536
262144  8       32768
262144  16      16384
262144  32      8192
262144  64      4096
262144  128     2048
262144  256     1024
262144  512     512
262144  1024    256
524288  2       262144
524288  4       131072
524288  8       65536
524288  16      32768
524288  32      16384
524288  64      8192
524288  128     4096
524288  256     2048
524288  512     1024
524288  1024    512
1048576 2       524288
1048576 4       262144
1048576 8       131072
1048576 16      65536
1048576 32      32768
1048576 64      16384
1048576 128     8192
1048576 256     4096
1048576 512     2048
1048576 1024    1024
2097152 2       1048576
2097152 4       524288
2097152 8       262144
2097152 16      131072
2097152 32      65536
2097152 64      32768
2097152 128     16384
2097152 256     8192
2097152 512     4096
2097152 1024    2048
4194304 2       2097152
4194304 4       1048576
4194304 8       524288
4194304 16      262144
4194304 32      131072
4194304 64      65536
4194304 128     32768
4194304 256     16384
4194304 512     8192
4194304 1024    4096
8388608 2       4194304
8388608 4       2097152
8388608 8       1048576
8388608 16      524288
8388608 32      262144
8388608 64      131072
8388608 128     65536
8388608 256     32768
8388608 512     16384
8388608 1024    8192
